carat	cut	color	clarity	depth	table	x	y	z
0.4	Ideal	G	VS2	62.3	54.0	4.73	4.77	2.96
0.53	Ideal	E	SI2	61.2	55.0	5.23	5.26	3.21
0.51	Very Good	G	VS1	63.4	57.0	5.08	5.04	3.21
0.32	Premium	G	VS1	59.2	59.0	4.47	4.45	2.64
0.33	Very Good	G	SI2	60.0	56.0	4.52	4.55	2.73
1.0	Premium	D	SI2	62.4	58.0	6.33	6.36	3.96
0.39	Ideal	D	VS1	61.9	57.0	4.69	4.71	2.91
0.36	Ideal	H	VS2	62.0	55.0	4.58	4.63	2.86
0.42	Ideal	H	SI1	62.4	57.0	4.79	4.76	2.98
0.74	Premium	I	SI2	59.8	58.0	5.93	5.88	3.53
1.01	Very Good	E	SI2	63.4	58.0	6.43	6.34	4.05
0.53	Ideal	G	VS1	61.2	55.0	5.23	5.26	3.21
1.0	Fair	F	SI1	61.3	62.0	6.45	6.37	3.93
1.0	Fair	H	VS2	64.8	55.0	6.35	6.28	4.09
1.01	Very Good	F	SI2	63.4	60.0	6.33	6.26	3.99
0.9	Good	H	VS2	64.0	57.0	6.14	6.11	3.92
0.4	Ideal	G	SI1	61.0	55.0	4.76	4.81	2.92
0.32	Ideal	G	VS1	62.3	55.0	4.39	4.41	2.74
0.4	Premium	F	SI1	61.7	62.0	4.76	4.71	2.92
0.31	Ideal	F	VS1	61.0	56.0	4.38	4.4	2.68
0.32	Ideal	I	VS2	62.2	57.0	4.42	4.39	2.74
0.51	Ideal	G	VVS2	61.8	56.0	5.16	5.1	3.17
0.55	Ideal	D	VS1	61.3	56.0	5.28	5.32	3.25
1.52	Premium	I	SI1	60.5	60.0	7.48	7.4	4.5
1.09	Premium	D	SI2	61.2	60.0	6.6	6.64	4.05
0.33	Very Good	G	VS1	61.2	57.0	4.46	4.49	2.73
1.6	Fair	D	SI2	64.7	58.0	7.35	7.28	4.73
1.01	Good	E	SI1	56.9	61.0	6.65	6.6	3.77
0.7	Very Good	F	VVS1	59.3	62.0	5.74	5.77	3.41
0.9	Premium	H	SI1	60.7	59.0	6.26	6.19	3.78
1.32	Fair	F	VVS1	58.0	66.0	7.31	7.28	4.23
0.4	Good	D	VVS2	60.8	62.0	4.74	4.77	2.89
0.57	Ideal	H	VS2	60.2	59.0	5.35	5.38	3.23
1.5	Fair	G	VS2	66.2	53.0	7.12	7.08	4.7
0.55	Premium	G	VS2	62.3	56.0	5.29	5.24	3.28
1.01	Very Good	E	VS2	63.2	57.0	6.38	6.35	4.02
0.3	Very Good	G	VS2	63.1	57.0	4.28	4.24	2.69
0.4	Good	G	VS1	59.6	61.0	4.82	4.85	2.88
0.7	Very Good	F	SI2	61.2	57.0	5.67	5.74	3.49
1.4	Very Good	G	VS1	59.9	56.0	7.31	7.34	4.39
1.52	Premium	J	VS1	62.0	59.0	7.34	7.36	4.56
0.3	Ideal	H	SI1	62.2	57.0	4.26	4.29	2.66
0.31	Ideal	G	VVS1	62.6	53.0	4.37	4.38	2.74
1.42	Very Good	E	SI1	61.1	62.0	7.17	7.2	4.39
1.01	Very Good	H	VS2	62.1	57.0	6.39	6.45	3.99
1.51	Ideal	G	VS1	61.6	56.0	7.34	7.37	4.53
0.27	Very Good	E	VS1	60.6	59.0	4.19	4.22	2.55
0.54	Ideal	H	SI1	62.2	56.0	5.26	5.19	3.25
0.72	Ideal	J	VS2	60.8	59.0	5.76	5.81	3.52
1.03	Ideal	G	VS2	61.3	57.0	6.51	6.54	4.0
0.33	Premium	G	VS1	61.9	59.0	4.43	4.45	2.75
1.0	Very Good	F	SI1	63.1	56.0	6.36	6.34	4.01
2.0	Ideal	G	SI2	62.2	57.0	8.13	8.0	5.02
0.31	Premium	E	VVS2	61.9	58.0	4.38	4.35	2.7
1.0	Premium	E	SI2	62.8	59.0	6.34	6.3	3.97
1.01	Ideal	F	VS2	61.6	56.0	6.48	6.45	3.98
0.72	Very Good	H	VS2	61.4	57.0	5.75	5.79	3.54
0.31	Ideal	G	VS1	61.0	55.0	4.43	4.39	2.69
0.58	Ideal	G	SI2	62.0	57.0	5.35	5.29	3.3
1.01	Very Good	H	VS2	63.3	58.0	6.33	6.27	3.99
1.51	Very Good	F	VS1	61.7	59.0	7.29	7.33	4.51
1.56	Premium	I	SI1	61.7	59.0	7.44	7.38	4.57
0.9	Good	I	VVS1	62.4	61.0	6.05	6.09	3.79
0.32	Ideal	E	VVS2	62.0	55.0	4.38	4.4	2.72
1.01	Very Good	D	SI1	61.8	58.0	6.33	6.38	3.93
0.31	Ideal	E	VVS1	61.7	56.0	4.33	4.36	2.68
0.71	Very Good	H	SI1	60.7	60.0	5.73	5.76	3.49
0.9	Ideal	H	SI2	61.8	56.0	6.17	6.2	3.82
1.56	Very Good	J	SI2	61.4	58.0	7.4	7.45	4.56
0.32	Ideal	D	SI2	61.8	55.0	4.38	4.42	2.72
0.42	Very Good	G	SI1	61.7	55.0	4.78	4.81	2.96
0.43	Ideal	E	VS2	62.0	57.0	4.85	4.82	3.0
1.37	Very Good	I	SI2	63.0	57.0	6.98	7.05	4.42
0.77	Very Good	H	VS1	61.3	60.0	5.88	5.9	3.61
0.4	Ideal	G	VVS1	61.2	56.0	4.79	4.75	2.92
1.15	Very Good	F	SI2	63.1	63.0	6.67	6.57	4.18
0.34	Ideal	H	VS2	60.5	56.0	4.58	4.54	2.76
0.4	Premium	F	VS1	60.3	60.0	4.81	4.77	2.89
2.12	Premium	H	SI1	61.1	60.0	8.18	8.26	5.02
1.1	Premium	D	SI1	58.8	61.0	6.73	6.67	3.94
1.06	Premium	D	VS2	59.3	55.0	6.7	6.65	3.96
2.01	Ideal	I	VS1	61.4	59.0	8.06	8.13	4.97
1.0	Good	F	SI2	61.8	58.0	6.43	6.48	3.99
0.73	Ideal	H	VS1	61.9	55.0	5.79	5.76	3.58
1.0	Fair	G	I1	64.9	56.0	6.2	6.14	4.01
0.47	Premium	G	VS2	61.8	60.0	4.98	4.95	3.07
0.32	Ideal	F	VS1	61.6	57.0	4.39	4.42	2.71
1.7	Very Good	H	SI2	63.8	55.0	7.47	7.55	4.79
0.33	Ideal	D	VS1	60.9	57.0	4.5	4.47	2.73
0.31	Good	G	VS1	63.3	56.0	4.29	4.33	2.73
1.5	Good	H	SI2	63.6	60.0	7.3	7.23	4.63
0.32	Premium	E	SI1	60.4	61.0	4.42	4.39	2.66
0.32	Very Good	H	SI1	61.9	58.0	4.34	4.38	2.7
0.52	Ideal	G	VVS1	61.6	55.0	5.14	5.18	3.18
0.41	Ideal	D	VS2	61.6	55.0	4.74	4.77	2.93
1.02	Premium	G	VS1	60.8	58.0	6.52	6.47	3.95
1.0	Fair	E	SI2	65.2	59.0	6.28	6.27	4.09
1.16	Ideal	G	VVS1	60.5	57.0	6.78	6.83	4.12
1.01	Premium	F	SI2	62.6	54.0	6.38	6.34	3.98
0.34	Ideal	G	VS2	62.0	55.0	4.48	4.46	2.77
1.34	Premium	E	VS2	58.2	60.0	7.26	7.21	4.21
0.42	Ideal	D	VS2	62.4	55.0	4.8	4.82	3.0
1.04	Ideal	D	SI1	61.7	57.0	6.55	6.51	4.03
0.4	Very Good	F	VS1	63.1	56.0	4.68	4.7	2.96
1.08	Very Good	E	SI2	62.9	59.0	6.44	6.53	4.08
0.41	Very Good	G	SI1	60.3	60.0	4.76	4.8	2.88
0.26	Very Good	D	VVS2	60.4	59.0	4.15	4.19	2.52
0.27	Very Good	G	VVS2	61.9	57.0	4.12	4.15	2.56
0.55	Ideal	D	SI1	60.9	57.0	5.29	5.32	3.23
1.51	Very Good	G	SI1	63.4	58.0	7.19	7.3	4.59
0.52	Ideal	E	VS2	61.5	56.0	5.2	5.18	3.19
0.32	Ideal	G	VS1	61.7	55.0	4.43	4.39	2.72
0.33	Premium	H	VVS2	62.4	60.0	4.42	4.39	2.75
1.01	Ideal	F	SI1	62.3	55.0	6.38	6.31	3.95
0.5	Very Good	D	SI1	60.6	59.0	5.08	5.12	3.09
0.55	Very Good	G	VS1	62.0	57.0	5.25	5.3	3.27
1.09	Ideal	H	SI1	62.5	56.0	6.58	6.53	4.1
0.63	Very Good	G	VVS2	62.3	55.0	5.5	5.54	3.44
1.22	Very Good	F	SI1	63.1	58.0	6.8	6.74	4.27
1.5	Very Good	J	VVS2	63.3	56.0	7.18	7.29	4.58
1.14	Very Good	E	SI2	62.6	56.0	6.63	6.69	4.17
0.72	Ideal	H	SI1	62.0	57.0	5.73	5.76	3.56
0.3	Premium	F	VS2	61.4	60.0	4.29	4.34	2.65
0.71	Very Good	E	VS2	63.4	61.0	5.6	5.57	3.54
0.4	Premium	E	VVS1	61.4	59.0	4.74	4.68	2.89
1.18	Premium	G	VVS2	61.6	58.0	6.77	6.8	4.18
0.44	Premium	E	VS1	60.7	58.0	4.91	4.88	2.97
1.0	Premium	F	VVS1	61.0	60.0	6.43	6.39	3.91
0.42	Premium	H	VVS1	62.0	58.0	4.82	4.79	2.98
0.41	Ideal	E	VS1	62.0	55.0	4.74	4.77	2.95
0.34	Premium	G	SI1	60.8	59.0	4.56	4.46	2.74
0.7	Very Good	I	SI1	63.8	59.0	5.56	5.6	3.56
0.6	Premium	G	SI1	60.8	58.0	5.44	5.39	3.29
1.01	Ideal	G	VS2	61.6	57.0	6.41	6.44	3.96
0.23	Premium	F	VVS2	61.3	59.0	3.94	3.99	2.43
0.3	Ideal	G	VS1	62.5	57.0	4.32	4.29	2.69
1.0	Good	E	SI1	59.3	61.0	6.42	6.53	3.84
2.06	Premium	H	SI2	62.6	58.0	8.06	8.03	5.04
0.41	Good	D	SI1	63.1	57.0	4.68	4.73	2.97
2.01	Very Good	I	SI2	61.4	63.0	8.19	7.96	4.96
1.14	Premium	I	VS2	62.8	60.0	6.68	6.59	4.17
1.23	Ideal	F	VS2	61.7	57.0	6.94	6.9	4.27
0.23	Very Good	F	VVS2	61.2	58.0	3.96	3.98	2.43
1.51	Ideal	G	SI2	62.3	56.0	7.31	7.37	4.57
0.7	Ideal	H	SI2	61.6	54.0	5.71	5.75	3.53
1.05	Fair	F	SI2	66.0	60.0	6.3	6.22	4.13
0.9	Very Good	I	VS1	63.5	57.0	6.06	6.03	3.84
0.54	Ideal	G	VS1	60.1	57.0	5.29	5.31	3.18
1.0	Very Good	F	SI2	62.6	58.0	6.31	6.37	3.97
0.73	Ideal	I	VS1	62.1	54.0	5.77	5.8	3.59
2.0	Premium	I	VS2	60.7	60.0	8.07	8.02	4.88
0.53	Good	E	SI2	63.4	56.0	5.16	5.18	3.28
0.31	Ideal	G	VS2	62.0	57.0	4.37	4.34	2.7
1.5	Premium	H	VS1	59.3	61.0	7.53	7.47	4.45
1.0	Premium	E	VS2	62.8	62.0	6.29	6.26	3.94
0.42	Ideal	G	VVS1	60.0	57.0	4.86	4.84	2.91
0.9	Very Good	H	VS2	62.1	60.0	6.11	6.2	3.82
0.73	Ideal	D	VS2	61.4	56.0	5.78	5.81	3.56
1.01	Premium	E	SI2	60.6	58.0	6.47	6.53	3.94
1.01	Fair	G	SI1	66.9	56.0	6.15	6.22	4.14
0.63	Premium	E	IF	60.3	62.0	5.55	5.53	3.34
0.35	Ideal	F	VVS1	60.6	56.0	4.58	4.59	2.78
1.58	Very Good	E	SI1	62.9	59.0	7.38	7.43	4.66
1.51	Premium	D	SI1	62.5	60.0	7.27	7.23	4.54
0.23	Very Good	H	VVS2	62.6	56.0	3.92	3.95	2.46
0.46	Ideal	I	VVS2	61.4	57.0	4.96	5.0	3.06
0.3	Premium	G	VS2	61.6	60.0	4.28	4.33	2.65
0.78	Ideal	H	SI2	61.9	54.0	5.89	5.85	3.63
2.02	Fair	J	SI2	64.6	55.0	7.93	7.84	5.09
1.19	Premium	I	SI2	59.5	59.0	6.95	6.89	4.12
1.0	Fair	D	SI1	65.9	54.0	6.24	6.2	4.1
1.01	Premium	F	SI2	61.6	58.0	6.39	6.4	3.94
1.09	Ideal	H	SI1	61.9	56.0	6.64	6.61	4.1
0.59	Ideal	F	SI1	62.0	57.0	5.41	5.34	3.33
0.32	Ideal	E	VVS1	62.5	56.0	4.38	4.42	2.75
0.26	Good	F	VS1	62.5	56.0	4.06	4.1	2.55
0.84	Very Good	D	VS1	60.6	57.0	6.06	6.15	3.7
0.95	Premium	F	SI2	58.4	57.0	6.49	6.41	3.77
0.33	Premium	E	VVS2	61.3	59.0	4.44	4.47	2.73
0.25	Ideal	G	VVS1	62.6	56.0	4.01	4.05	2.52
0.31	Ideal	E	VVS2	61.0	56.0	4.43	4.39	2.69
0.5	Very Good	G	SI1	60.0	63.0	5.06	5.1	3.05
1.0	Premium	D	SI2	61.6	58.0	6.45	6.37	3.95
0.4	Ideal	F	VVS2	61.7	56.0	4.74	4.72	2.92
0.41	Ideal	F	VS2	60.8	56.0	4.8	4.81	2.92
0.61	Premium	F	VVS2	59.7	58.0	5.56	5.53	3.31
0.81	Ideal	E	SI1	62.4	57.0	5.92	5.97	3.71
0.32	Ideal	G	VS2	59.8	57.0	4.43	4.46	2.66
0.56	Ideal	G	VS1	60.8	55.0	5.34	5.36	3.25
0.5	Very Good	H	VS1	62.5	58.0	5.04	5.1	3.17
0.31	Premium	G	VS2	62.2	59.0	4.3	4.35	2.69
0.38	Ideal	D	SI2	61.1	56.0	4.65	4.71	2.86
0.27	Good	E	VS1	57.5	63.0	4.24	4.28	2.45
0.79	Ideal	F	SI1	62.0	55.0	5.93	5.95	3.68
1.0	Very Good	F	VS2	62.9	59.0	6.3	6.33	3.97
1.0	Premium	E	SI2	62.2	59.0	6.38	6.35	3.96
0.7	Ideal	F	VVS1	61.0	56.0	5.72	5.75	3.5
0.58	Ideal	D	VS1	61.4	57.0	5.41	5.34	3.3
0.72	Premium	J	SI1	60.4	61.0	5.87	5.82	3.53
0.54	Ideal	D	VVS2	61.3	56.0	5.22	5.26	3.21
0.73	Ideal	G	VVS1	61.3	56.0	5.79	5.82	3.56
0.31	Premium	I	SI1	62.3	58.0	4.38	4.35	2.72
0.43	Premium	D	SI1	60.1	58.0	4.89	4.93	2.95
0.3	Ideal	H	IF	61.8	55.0	4.31	4.3	2.66
0.54	Ideal	G	VVS2	61.4	55.0	5.22	5.3	3.23
0.41	Very Good	E	VVS2	63.1	58.0	4.75	4.72	2.99
1.13	Ideal	E	VVS2	61.4	57.0	6.69	6.74	4.12
0.39	Good	E	VVS2	61.5	61.0	4.73	4.74	2.91
0.7	Good	H	VS2	59.7	57.0	5.75	5.8	3.45
1.51	Very Good	F	VVS2	63.1	56.0	7.32	7.26	4.6
2.0	Premium	F	SI1	62.6	59.0	8.1	8.04	5.05
0.71	Ideal	E	VVS1	62.3	55.0	5.68	5.72	3.55
0.74	Ideal	F	VS1	61.7	56.0	5.83	5.78	3.58
1.21	Fair	E	SI2	65.6	59.0	6.62	6.56	4.32
0.36	Premium	E	VS2	62.0	58.0	4.56	4.54	2.82
0.57	Ideal	F	VS2	60.7	56.0	5.37	5.41	3.27
0.9	Ideal	H	VS2	62.5	53.0	6.17	6.22	3.87
0.53	Ideal	D	VS2	62.6	56.0	5.18	5.14	3.23
0.65	Very Good	I	VVS2	61.3	59.3	5.52	5.59	3.4
1.55	Very Good	G	SI2	61.9	60.0	7.31	7.36	4.54
0.41	Premium	H	VVS2	59.8	60.0	4.86	4.79	2.88
0.72	Ideal	E	SI1	60.3	55.0	5.85	5.89	3.54
0.51	Premium	G	SI1	60.3	61.0	5.19	5.12	3.11
0.91	Fair	H	SI1	65.8	58.0	6.04	6.01	3.96
0.92	Very Good	H	VS1	59.7	63.0	6.34	6.29	3.77
1.01	Very Good	F	SI2	61.0	60.0	6.44	6.48	3.94
2.01	Good	I	VS2	63.6	57.0	7.87	7.95	5.03
1.65	Premium	G	I1	62.0	59.0	7.53	7.57	4.68
0.31	Ideal	G	VVS1	60.8	56.0	4.39	4.36	2.66
0.31	Ideal	F	VVS1	61.4	56.0	4.37	4.4	2.69
0.3	Ideal	D	VVS1	61.1	57.0	4.36	4.34	2.66
1.02	Very Good	H	SI2	63.4	63.0	6.36	6.32	4.02
1.21	Ideal	G	VS1	62.5	57.0	6.77	6.7	4.21
0.34	Ideal	E	SI1	61.4	54.0	4.53	4.5	2.77
1.0	Very Good	G	VVS2	63.0	56.0	6.37	6.4	4.02
0.31	Premium	E	VS1	61.9	56.0	4.37	4.32	2.69
0.9	Very Good	D	SI1	62.8	59.0	6.14	6.18	3.87
0.5	Good	G	SI2	63.8	57.0	4.98	5.02	3.19
0.71	Premium	G	SI1	61.2	61.0	5.71	5.66	3.48
1.06	Premium	H	SI1	61.0	58.0	6.61	6.57	4.02
0.71	Ideal	E	VS2	59.5	57.0	5.83	5.86	3.48
0.57	Good	F	SI2	61.9	57.7	5.32	5.34	3.3
1.9	Ideal	I	SI2	60.9	55.0	8.0	8.06	4.89
1.51	Premium	G	VS2	60.4	58.0	7.38	7.43	4.47
0.36	Ideal	D	VS2	61.5	57.0	4.58	4.56	2.81
1.01	Ideal	E	SI1	59.8	60.0	6.56	6.48	3.9
2.32	Ideal	I	SI2	62.0	57.0	8.45	8.49	5.25
1.01	Very Good	F	SI2	60.0	55.0	6.56	6.53	3.93
0.59	Ideal	F	SI2	60.1	57.0	5.45	5.49	3.29
0.36	Ideal	D	SI1	62.7	57.0	4.54	4.59	2.86
1.0	Good	F	SI2	56.7	60.0	6.62	6.58	3.74
1.2	Premium	E	VS1	60.7	57.0	6.89	6.81	4.16
0.9	Very Good	H	VS2	60.0	56.0	6.3	6.34	3.79
1.54	Premium	I	SI2	60.1	61.0	7.46	7.41	4.47
0.31	Ideal	G	SI1	61.8	55.0	4.38	4.42	2.72
1.09	Premium	G	SI1	62.5	59.0	6.56	6.53	4.09
0.41	Premium	G	VVS1	59.7	60.0	4.85	4.83	2.89
0.55	Ideal	D	VS2	61.0	56.0	5.31	5.28	3.23
1.53	Premium	I	VS2	62.0	58.0	7.36	7.41	4.58
0.92	Premium	I	VS2	60.9	58.0	6.28	6.27	3.82
1.03	Premium	I	SI1	61.6	59.0	6.46	6.49	3.99
0.7	Good	F	VS2	64.3	59.0	5.6	5.56	3.59
0.29	Ideal	F	VS1	61.6	56.0	4.26	4.31	2.64
1.5	Very Good	I	SI1	60.3	60.0	7.46	7.43	4.49
0.58	Ideal	E	SI2	62.8	56.0	5.3	5.37	3.35
1.02	Ideal	D	SI1	61.7	56.0	6.4	6.49	3.97
0.54	Ideal	E	VS1	62.0	56.0	5.17	5.25	3.23
1.3	Very Good	I	VS2	62.7	57.0	6.88	6.9	4.32
0.46	Very Good	E	VS1	58.7	60.0	5.08	5.15	3.0
1.0	Ideal	D	VS1	62.4	55.0	6.4	6.43	4.0
1.04	Good	G	VS2	61.4	65.0	6.53	6.47	3.99
1.19	Ideal	I	VS1	61.6	56.0	6.81	6.83	4.2
0.5	Very Good	H	VVS2	62.9	56.0	5.03	5.08	3.18
1.19	Ideal	I	IF	61.7	56.0	6.78	6.81	4.19
1.22	Premium	E	SI1	62.3	59.0	6.8	6.74	4.22
0.8	Ideal	D	SI1	62.2	57.0	5.89	5.85	3.65
0.75	Ideal	G	VS2	60.6	55.0	5.91	5.93	3.59
0.9	Good	F	VS2	65.0	58.0	6.03	6.06	3.93
1.2	Very Good	F	VS1	61.6	61.0	6.81	6.86	4.21
0.31	Ideal	G	SI2	61.6	55.6	4.34	4.37	2.69
1.55	Very Good	H	SI1	63.2	57.0	7.35	7.31	4.64
1.5	Very Good	J	VS1	62.2	58.0	7.19	7.27	4.5
1.0	Good	D	VS2	63.1	56.0	6.36	6.4	4.02
0.3	Ideal	F	IF	62.2	53.0	4.34	4.38	2.71
0.38	Ideal	G	VVS1	61.7	55.0	4.67	4.7	2.89
1.7	Ideal	I	VS1	63.0	55.0	7.75	7.54	4.76
1.04	Very Good	G	VS2	63.4	55.0	6.48	6.42	4.09
0.7	Ideal	F	SI1	61.0	56.0	5.75	5.72	3.5
0.53	Ideal	G	VS1	61.7	55.0	5.22	5.18	3.21
1.09	Good	D	IF	58.7	61.0	6.75	6.85	3.99
0.26	Ideal	I	VS1	61.6	54.0	4.08	4.12	2.53
0.7	Ideal	F	VS1	62.4	56.0	5.67	5.65	3.53
0.77	Ideal	G	VS2	62.1	56.0	5.84	5.88	3.64
1.01	Very Good	D	VS2	63.1	58.0	6.34	6.38	4.01
2.22	Fair	J	I1	66.7	56.0	8.04	8.02	5.36
0.7	Very Good	D	SI1	62.4	57.0	5.64	5.67	3.53
1.01	Ideal	G	SI2	61.4	57.0	6.44	6.48	3.97
0.92	Fair	F	SI2	65.1	58.0	6.12	6.07	3.97
1.39	Premium	G	SI1	61.3	59.0	7.24	7.15	4.41
0.57	Very Good	F	SI1	58.6	57.0	5.37	5.59	3.21
1.01	Premium	F	VS2	62.4	58.0	6.43	6.36	3.99
1.11	Very Good	D	SI2	59.9	57.0	6.72	6.74	4.03
0.5	Premium	D	VS2	61.9	58.0	5.04	5.1	3.14
0.71	Ideal	E	VVS2	62.0	57.0	5.7	5.72	3.54
1.03	Ideal	G	VS2	61.1	57.0	6.51	6.54	3.99
0.37	Ideal	F	VVS1	59.2	57.0	4.75	4.71	2.8
0.78	Ideal	D	VS2	62.3	54.0	5.87	5.91	3.67
0.67	Good	G	SI1	62.9	59.0	5.58	5.62	3.52
0.9	Ideal	J	SI1	62.6	54.0	6.16	6.23	3.88
0.31	Ideal	E	VS2	60.8	54.0	4.4	4.39	2.67
0.93	Premium	E	I1	62.3	60.0	6.23	6.2	3.87
1.44	Good	G	VS1	63.6	58.0	7.01	6.96	4.44
1.01	Premium	F	SI1	60.3	58.0	6.53	6.61	3.96
0.51	Ideal	E	SI1	60.9	54.0	5.17	5.21	3.16
0.38	Premium	E	VS2	59.2	60.0	4.77	4.73	2.81
0.33	Good	G	SI1	63.2	57.0	4.39	4.44	2.79
0.51	Ideal	E	SI1	61.4	56.0	5.15	5.17	3.17
0.63	Ideal	E	VVS1	62.4	56.0	5.48	5.52	3.43
0.52	Premium	E	I1	60.8	60.0	5.2	5.17	3.15
0.51	Ideal	D	VS2	62.2	58.0	5.1	5.12	3.18
0.53	Ideal	H	SI1	61.5	54.0	5.21	5.26	3.22
0.52	Ideal	G	VS2	61.7	56.0	5.15	5.19	3.19
1.2	Premium	G	VS2	59.4	58.0	6.91	6.85	4.09
0.74	Very Good	F	SI1	59.8	58.0	5.89	5.94	3.54
1.0	Very Good	E	SI2	60.6	61.0	6.39	6.44	3.89
2.07	Premium	I	SI2	60.5	60.0	8.32	8.27	5.02
1.46	Fair	H	SI2	56.3	60.0	7.61	7.55	4.27
1.13	Ideal	G	VS1	61.5	56.0	6.71	6.73	4.13
0.9	Very Good	F	VS2	61.8	57.0	6.16	6.23	3.83
0.8	Premium	G	IF	62.6	58.0	5.93	5.89	3.7
0.53	Ideal	D	VVS1	62.5	54.0	5.16	5.21	3.24
0.33	Ideal	E	VS1	60.6	57.0	4.5	4.54	2.74
0.43	Premium	G	VVS1	62.0	59.0	4.8	4.82	2.98
0.73	Ideal	I	VS1	61.6	55.0	5.77	5.79	3.56
0.9	Very Good	E	VS2	62.7	56.0	6.13	6.21	3.87
0.32	Ideal	F	VS1	61.9	56.0	4.4	4.36	2.71
0.3	Premium	G	VVS1	61.7	58.0	4.26	4.3	2.64
1.16	Premium	F	SI2	62.4	59.0	6.72	6.64	4.17
0.7	Very Good	G	SI1	59.1	62.0	5.8	5.91	3.46
0.61	Very Good	E	SI1	62.1	55.0	5.43	5.46	3.38
0.3	Ideal	G	VS1	61.7	57.0	4.32	4.3	2.66
0.41	Ideal	E	VS1	62.7	57.0	4.76	4.72	2.97
1.23	Premium	H	VS2	60.6	59.0	6.94	6.89	4.19
0.3	Very Good	E	SI1	61.9	58.0	4.27	4.33	2.66
1.52	Fair	H	SI1	61.2	60.0	7.39	7.29	4.49
0.32	Premium	J	VS1	61.9	58.0	4.33	4.39	2.7
1.06	Premium	D	SI2	59.8	61.0	6.63	6.58	3.95
1.8	Very Good	E	SI1	62.2	57.0	7.81	7.89	4.88
0.3	Ideal	E	VS2	62.1	56.0	4.25	4.31	2.66
0.41	Ideal	I	VVS1	62.0	54.5	4.77	4.8	2.97
0.72	Ideal	F	SI2	61.9	57.0	5.74	5.79	3.57
1.21	Ideal	I	VS1	61.7	53.0	6.89	6.92	4.26
1.34	Premium	G	VVS2	61.3	58.0	7.16	7.1	4.37
1.01	Premium	H	SI1	58.2	62.0	6.54	6.48	3.78
1.7	Fair	G	VS2	64.5	58.0	7.51	7.43	4.82
0.4	Very Good	E	SI1	61.7	60.0	4.68	4.72	2.9
1.56	Premium	J	VS2	61.7	58.0	7.41	7.46	4.59
0.57	Very Good	F	VVS1	61.9	56.0	5.31	5.34	3.29
0.3	Ideal	F	VVS1	62.4	56.0	4.31	4.28	2.68
1.09	Fair	H	SI1	64.4	60.0	6.49	6.42	4.16
0.34	Ideal	F	VVS2	61.8	56.0	4.47	4.49	2.77
1.0	Very Good	D	SI1	62.1	61.0	6.3	6.32	3.92
0.32	Ideal	E	VS2	62.2	56.0	4.37	4.41	2.73
0.97	Ideal	I	I1	61.6	53.0	6.4	6.43	3.95
0.42	Ideal	H	VS1	61.2	57.0	4.87	4.8	2.96
0.52	Premium	G	VVS2	61.0	58.0	5.15	5.21	3.16
0.52	Very Good	D	VS1	62.6	59.0	5.03	5.13	3.18
1.01	Very Good	G	VS1	63.2	58.0	6.38	6.34	4.02
1.15	Premium	G	SI1	62.2	56.0	6.76	6.68	4.18
1.01	Ideal	I	SI1	60.0	60.0	6.53	6.57	3.93
0.31	Ideal	D	VVS2	61.6	56.0	4.38	4.34	2.69
0.76	Premium	G	SI2	62.8	60.0	5.81	5.79	3.64
0.91	Very Good	E	VS1	61.9	59.0	6.17	6.23	3.84
0.28	Ideal	G	VVS1	62.7	55.0	4.16	4.2	2.62
1.01	Very Good	F	VS2	60.8	58.0	6.44	6.49	3.93
0.33	Very Good	F	VS1	59.1	60.0	4.48	4.52	2.66
2.06	Ideal	I	VS2	59.2	57.0	8.39	8.29	4.94
1.33	Ideal	J	VS1	61.3	57.0	7.11	7.08	4.35
0.31	Very Good	E	SI1	63.4	55.0	4.29	4.26	2.71
0.73	Premium	H	VS2	61.0	58.0	5.76	5.84	3.54
0.36	Ideal	G	VVS2	62.3	56.0	4.56	4.53	2.83
0.71	Good	F	SI1	66.2	55.0	5.49	5.53	3.65
1.0	Fair	G	VS2	69.8	54.0	6.03	5.94	4.18
0.4	Good	H	VS2	59.4	64.0	4.82	4.75	2.84
0.9	Good	E	VS2	63.7	58.0	6.06	6.09	3.87
0.37	Ideal	D	VS2	61.6	56.0	4.63	4.59	2.84
0.5	Ideal	D	VS2	61.9	55.0	5.09	5.12	3.16
0.3	Ideal	J	VVS1	61.8	56.0	4.31	4.33	2.67
0.72	Ideal	I	VS1	62.4	55.0	5.72	5.75	3.58
0.31	Ideal	F	IF	62.1	55.0	4.32	4.38	2.7
0.32	Ideal	E	VS2	62.1	55.0	4.36	4.4	2.72
0.31	Ideal	D	SI2	62.0	56.0	4.33	4.35	2.69
1.53	Very Good	E	VS2	61.2	60.0	7.49	7.4	4.56
1.02	Ideal	D	SI1	61.3	56.0	6.48	6.53	3.99
0.71	Premium	F	SI2	60.2	60.0	5.8	5.77	3.48
1.5	Very Good	J	VVS2	63.3	57.0	7.28	7.25	4.6
0.4	Ideal	I	VVS1	62.3	53.7	4.72	4.74	2.95
0.71	Very Good	E	VS2	62.9	57.0	5.68	5.7	3.58
0.46	Good	G	VVS2	60.2	60.5	4.98	5.04	3.02
1.54	Premium	J	VVS2	61.1	59.0	7.45	7.4	4.54
0.31	Very Good	G	VVS1	63.1	56.0	4.35	4.33	2.74
0.56	Ideal	D	VS2	61.6	56.0	5.31	5.27	3.26
