carat,cut,color,clarity,depth,table,price,x,y,z,color_classification,z_depth,table_width
1.04,3,2,2,60.7,59.0,4472,6.5,6.54,3.96,Colorless,24037.2,38350.0
0.43,3,2,4,62.8,56.0,981,4.79,4.86,3.03,Colorless,19028.399999999998,26824.0
1.01,4,6,3,62.9,58.0,4242,6.37,6.34,4.0,Near Colorless,25160.0,36946.0
1.03,5,5,1,61.5,57.0,3230,6.52,6.48,4.0,Near Colorless,24600.0,37164.0
1.06,5,4,2,61.0,57.0,4578,6.56,6.61,4.02,Near Colorless,24521.999999999996,37391.99999999999
1.22,5,3,5,62.6,55.0,9581,6.82,6.86,4.28,Colorless,26792.8,37510.0
0.74,4,1,2,61.8,59.0,2291,5.85,5.83,3.61,Colorless,22309.8,34515.0
0.72,3,3,3,62.6,55.0,2440,5.71,5.76,3.59,Colorless,22473.4,31405.0
0.71,4,4,2,60.8,59.0,2913,5.7,5.74,3.48,Near Colorless,21158.4,33630.0
0.5,3,2,3,62.7,55.0,1331,5.06,5.09,3.18,Colorless,19938.600000000002,27829.999999999996
0.32,5,2,7,61.6,56.0,827,4.37,4.43,2.71,Colorless,16693.600000000002,24472.0
1.52,5,2,3,62.8,55.0,12431,7.3,7.35,4.6,Colorless,28887.999999999993,40150.0
1.18,4,6,5,62.1,58.0,5921,6.76,6.7,4.18,Near Colorless,25957.799999999996,39208.0
0.73,5,7,4,62.0,56.0,2258,5.76,5.79,3.58,Near Colorless,22196.0,32256.0
0.3,4,4,4,60.6,61.0,675,4.32,4.29,2.61,Near Colorless,15816.6,26352.000000000004
0.43,2,2,2,63.6,55.0,858,4.83,4.8,3.06,Colorless,19461.600000000002,26564.999999999996
1.01,3,7,3,61.3,57.0,4153,6.45,6.5,3.97,Near Colorless,24336.1,36765.0
0.37,3,3,5,58.6,65.0,863,4.68,4.71,2.75,Colorless,16115.0,30420.0
0.38,4,5,4,60.5,59.0,898,4.69,4.66,2.83,Near Colorless,17121.5,27671.000000000004
0.34,5,2,3,61.7,56.0,765,4.52,4.49,2.78,Colorless,17152.6,25311.999999999996
1.3,4,6,4,60.3,60.0,5242,7.01,6.99,4.22,Near Colorless,25446.6,42060.0
0.92,2,1,2,57.8,63.0,3335,6.36,6.4,3.69,Colorless,21328.199999999997,40068.0
1.14,2,6,5,63.3,56.0,5056,6.6,6.68,4.2,Near Colorless,26586.0,36960.0
0.58,2,2,5,61.5,61.9,2041,5.3,5.34,3.27,Colorless,20110.5,32807.0
0.68,4,5,3,58.7,60.0,1708,5.8,5.76,3.39,Near Colorless,19899.300000000003,34800.0
1.0,4,2,1,62.3,58.0,3136,6.38,6.33,3.96,Colorless,24670.8,37004.0
0.38,5,4,5,60.8,56.0,1069,4.71,4.66,2.85,Near Colorless,17328.0,26376.0
0.96,4,7,3,60.3,59.0,3269,6.4,6.36,3.85,Near Colorless,23215.5,37760.0
0.7,3,4,3,63.3,57.0,2088,5.58,5.63,3.55,Near Colorless,22471.499999999996,31806.0
0.93,4,5,3,61.8,59.0,3750,6.27,6.23,3.86,Near Colorless,23854.799999999996,36992.99999999999
0.33,5,6,8,61.4,56.0,694,4.41,4.45,2.72,Near Colorless,16700.8,24696.0
1.5,3,2,3,59.6,58.0,11586,7.38,7.41,4.41,Colorless,26283.600000000002,42804.0
1.04,5,4,2,61.9,58.0,4973,6.47,6.51,4.02,Near Colorless,24883.799999999996,37526.0
0.32,4,4,5,61.7,58.0,828,4.41,4.38,2.71,Near Colorless,16720.7,25578.0
0.51,5,3,4,59.2,56.0,1619,5.23,5.18,3.08,Colorless,18233.600000000002,29288.0
0.31,3,3,4,61.4,55.0,625,4.32,4.34,2.66,Colorless,16332.400000000001,23760.000000000004
0.9,3,6,5,62.6,58.0,3447,6.14,6.17,3.85,Near Colorless,24101.000000000004,35612.0
0.4,5,3,4,62.0,59.0,1059,4.77,4.71,2.95,Colorless,18290.0,28142.999999999996
1.02,5,4,2,62.6,58.0,4363,6.42,6.4,4.01,Near Colorless,25102.6,37236.0
1.01,2,1,2,64.5,58.0,4606,6.18,6.26,4.01,Colorless,25864.5,35844.0
1.04,5,6,3,62.2,56.0,4484,6.51,6.47,4.04,Near Colorless,25128.800000000003,36456.0
0.38,5,3,5,62.8,56.0,998,4.64,4.59,2.9,Colorless,18211.999999999996,25983.999999999996
0.72,5,4,5,61.5,57.0,3478,5.74,5.79,3.54,Near Colorless,21771.0,32718.0
0.41,5,4,3,62.2,56.0,861,4.77,4.75,2.96,Near Colorless,18411.2,26712.0
1.09,3,2,2,60.9,59.0,5035,6.61,6.75,4.07,Colorless,24786.3,38999.0
1.3,5,5,5,61.3,59.0,8915,6.97,7.03,4.29,Near Colorless,26297.699999999997,41122.99999999999
1.11,4,2,3,61.3,58.0,5908,6.66,6.61,4.07,Colorless,24949.100000000002,38628.0
0.9,2,4,5,63.6,58.0,4540,6.09,6.12,3.88,Near Colorless,24676.8,35322.0
0.54,3,1,5,59.9,57.0,1988,5.38,5.3,3.2,Colorless,19168.0,30665.999999999996
0.57,5,1,4,61.4,56.0,2103,5.37,5.34,3.29,Colorless,20200.6,30072.000000000004
0.5,4,2,4,61.8,59.0,1420,5.07,5.02,3.12,Colorless,19281.6,29913.0
0.7,1,5,4,64.9,56.0,1981,5.49,5.51,3.57,Near Colorless,23169.300000000003,30744.0
0.3,3,2,3,62.1,60.0,526,4.27,4.29,2.66,Colorless,16518.600000000002,25620.0
0.7,5,1,2,62.0,57.0,2415,5.68,5.65,3.51,Colorless,21761.999999999996,32376.0
0.72,4,7,4,61.7,58.0,1941,5.67,5.77,3.53,Near Colorless,21780.1,32886.0
0.72,4,3,3,62.6,59.0,2318,5.74,5.69,3.58,Colorless,22410.8,33866.0
0.53,4,2,3,62.1,58.0,1395,5.11,5.19,3.2,Colorless,19872.000000000004,29638.0
1.01,4,5,4,59.1,58.0,5166,6.58,6.59,3.89,Near Colorless,22989.9,38164.0
0.55,4,2,2,58.4,61.0,1134,5.37,5.31,3.12,Colorless,18220.8,32757.0
0.53,3,3,5,61.5,59.0,1821,5.19,5.22,3.2,Colorless,19680.0,30621.000000000004
1.23,5,5,2,63.8,57.0,5510,6.78,6.72,4.31,Near Colorless,27497.799999999996,38646.0
2.1,5,6,3,61.6,57.0,12168,8.24,8.15,5.05,Near Colorless,31108.0,46968.0
0.46,5,3,2,62.1,54.7,851,4.95,4.98,3.08,Colorless,19126.8,27076.500000000004
0.52,5,4,5,62.3,55.0,1815,5.16,5.14,3.21,Near Colorless,19998.3,28380.0
1.35,5,1,4,61.3,57.0,10602,7.09,7.13,4.36,Colorless,26726.800000000003,40413.0
0.41,2,4,7,63.6,56.0,844,4.72,4.74,3.01,Near Colorless,19143.6,26432.0
0.4,3,1,5,64.2,57.0,967,4.67,4.7,3.01,Colorless,19324.2,26619.0
0.53,5,2,4,61.5,56.0,1948,5.22,5.25,3.22,Colorless,19803.0,29232.0
0.74,3,2,2,63.0,58.0,2282,5.73,5.77,3.62,Colorless,22806.0,33234.0
0.33,5,2,5,59.6,56.0,1002,4.54,4.49,2.69,Colorless,16032.400000000001,25424.0
0.4,5,2,2,62.1,53.0,629,4.75,4.78,2.96,Colorless,18381.6,25175.0
0.4,4,3,4,59.3,59.0,842,4.79,4.83,2.85,Colorless,16900.5,28261.0
1.03,3,1,2,60.9,57.0,4545,6.53,6.55,3.98,Colorless,24238.2,37221.0
0.71,5,6,3,61.9,56.0,2660,5.71,5.74,3.54,Near Colorless,21912.600000000002,31976.0
0.3,4,2,3,61.3,60.0,526,4.24,4.28,2.61,Colorless,15999.3,25440.0
1.22,3,4,3,62.1,58.0,6334,6.84,6.89,4.26,Near Colorless,26454.6,39672.0
0.24,3,1,6,60.1,57.0,499,4.03,4.09,2.44,Colorless,14664.400000000001,22971.0
0.4,4,2,3,62.2,58.0,737,4.71,4.74,2.94,Colorless,18286.8,27318.0
0.58,5,2,5,60.1,57.0,1965,5.41,5.47,3.27,Colorless,19652.7,30837.0
0.55,3,6,2,63.1,58.0,1041,5.15,5.19,3.26,Near Colorless,20570.6,29870.000000000004
0.34,4,6,6,61.5,60.0,765,4.49,4.45,2.75,Near Colorless,16912.5,26940.000000000004
1.0,1,2,4,57.3,64.0,6285,6.59,6.46,3.79,Colorless,21716.7,42176.0
0.56,4,1,3,61.4,58.0,1814,5.33,5.29,3.26,Colorless,20016.399999999998,30914.0
0.39,3,3,6,61.7,56.0,965,4.7,4.74,2.91,Colorless,17954.700000000004,26320.0
0.9,3,1,3,62.1,60.0,4289,6.11,6.19,3.82,Colorless,23722.2,36660.0
0.72,3,6,4,63.3,57.0,2393,5.66,5.72,3.6,Near Colorless,22788.0,32262.0
0.33,5,3,8,62.2,53.0,971,4.47,4.5,2.79,Colorless,17353.800000000003,23691.0
0.33,5,2,4,60.8,57.0,928,4.47,4.45,2.71,Colorless,16476.8,25479.0
0.23,3,4,7,62.0,56.0,484,3.95,3.98,2.46,Near Colorless,15252.000000000002,22120.0
0.5,5,7,4,62.5,53.0,915,5.09,5.12,3.19,Near Colorless,19937.5,26977.0
0.51,3,4,4,62.3,59.0,1438,5.07,5.1,3.17,Near Colorless,19749.1,29913.0
1.0,3,2,5,63.2,55.0,7532,6.34,6.29,3.99,Colorless,25216.800000000003,34870.0
1.17,5,4,6,61.7,55.0,8947,6.74,6.77,4.17,Near Colorless,25728.899999999998,37070.0
1.07,4,4,2,62.0,59.0,4401,6.54,6.5,4.04,Near Colorless,25048.0,38586.0
1.61,5,3,4,62.1,57.0,15819,7.49,7.56,4.67,Colorless,29000.7,42693.0
0.5,5,2,2,63.0,57.0,1181,5.09,5.04,3.19,Colorless,20097.0,29013.0
1.0,4,4,3,60.8,58.0,4816,6.48,6.45,3.93,Near Colorless,23894.399999999998,37584.0
0.7,5,4,6,59.9,58.0,3234,5.78,5.8,3.47,Near Colorless,20785.3,33524.0
0.57,5,3,6,62.0,55.0,2360,5.31,5.3,3.29,Colorless,20398.0,29204.999999999996
0.74,3,4,5,59.8,58.0,2896,5.85,5.89,3.51,Near Colorless,20989.799999999996,33929.99999999999
0.36,5,1,3,62.5,56.0,663,4.55,4.57,2.85,Colorless,17812.5,25480.0
0.91,3,3,4,62.1,58.0,4917,6.19,6.24,3.86,Colorless,23970.6,35902.00000000001
0.34,5,3,2,60.1,56.0,447,4.54,4.55,2.73,Colorless,16407.3,25424.0
0.3,3,2,4,62.1,62.0,575,4.21,4.26,2.63,Colorless,16332.300000000001,26102.0
1.02,5,1,2,62.0,58.0,5235,6.4,6.51,4.0,Colorless,24800.0,37120.00000000001
1.51,2,3,2,63.4,57.0,9301,7.25,7.29,4.61,Colorless,29227.4,41325.0
1.52,4,6,2,59.8,62.0,8010,7.47,7.41,4.45,Near Colorless,26611.0,46314.0
0.91,5,3,3,62.0,55.0,5176,6.21,6.24,3.86,Colorless,23932.0,34155.0
0.93,2,7,3,63.7,54.0,2438,6.15,6.09,3.9,Near Colorless,24843.0,33210.0
0.26,5,5,4,61.3,56.0,434,4.09,4.13,2.52,Near Colorless,15447.6,22904.0
0.36,5,1,3,61.3,56.0,636,4.61,4.65,2.84,Colorless,17409.199999999997,25816.000000000004
1.7,4,6,4,61.7,59.0,11257,7.63,7.68,4.72,Near Colorless,29122.399999999998,45017.0
0.31,5,1,4,60.4,56.0,734,4.39,4.42,2.66,Colorless,16066.400000000001,24583.999999999996
0.31,1,2,3,56.9,66.0,579,4.53,4.47,2.56,Colorless,14566.399999999998,29898.0
1.01,3,4,2,61.9,55.0,3852,6.43,6.46,3.99,Near Colorless,24698.1,35365.0
0.36,4,3,3,61.5,58.0,770,4.6,4.54,2.81,Colorless,17281.5,26679.999999999996
2.0,4,5,2,62.8,57.0,11975,8.05,8.01,5.04,Near Colorless,31651.2,45885.0
0.27,5,3,4,60.9,57.0,577,4.17,4.2,2.55,Colorless,15529.499999999998,23769.0
1.13,4,3,8,59.8,60.0,12549,6.82,6.76,4.06,Colorless,24278.799999999996,40920.00000000001
1.01,3,2,4,62.0,55.0,6399,6.42,6.46,3.99,Colorless,24738.000000000004,35310.0
0.38,4,3,3,62.0,58.0,838,4.63,4.6,2.86,Colorless,17732.0,26854.000000000004
1.24,5,4,3,61.0,56.4,6895,6.93,6.99,4.25,Near Colorless,25925.0,39085.2
0.35,5,1,4,61.8,55.0,829,4.53,4.56,2.81,Colorless,17365.8,24915.0
1.01,3,2,3,61.1,57.0,5339,6.43,6.46,3.94,Colorless,24073.4,36651.0
1.01,4,5,3,58.8,62.0,4191,6.59,6.54,3.86,Near Colorless,22696.8,40858.0
0.37,5,6,8,61.4,55.0,754,4.65,4.67,2.86,Near Colorless,17560.399999999998,25575.000000000004
0.73,1,3,1,66.9,54.0,1158,5.62,5.54,3.74,Colorless,25020.600000000006,30348.0
0.3,4,4,6,61.9,59.0,878,4.28,4.25,2.64,Near Colorless,16341.6,25252.0
0.51,4,1,5,59.5,57.0,1873,5.24,5.21,3.11,Colorless,18504.5,29868.0
1.33,5,6,4,62.6,55.0,7325,7.01,7.05,4.4,Near Colorless,27544.000000000007,38555.0
0.41,5,4,4,61.4,54.0,1061,4.84,4.77,2.95,Near Colorless,18113.0,26136.0
0.53,4,2,3,62.2,56.0,1654,5.22,5.16,3.23,Colorless,20090.600000000002,29232.0
0.53,5,4,5,61.3,57.0,1922,5.18,5.22,3.19,Near Colorless,19554.7,29526.0
0.62,5,2,5,61.3,56.0,2731,5.52,5.54,3.39,Colorless,20780.699999999997,30912.0
1.5,5,6,3,62.1,55.0,8685,7.32,7.36,4.56,Near Colorless,28317.6,40260.0
0.67,3,4,4,61.7,59.7,2131,5.56,5.61,3.45,Near Colorless,21286.5,33193.200000000004
0.27,3,2,7,59.9,57.0,620,4.23,4.25,2.54,Colorless,15214.599999999999,24111.0
0.7,1,5,3,64.7,58.0,2051,5.59,5.54,3.6,Near Colorless,23292.0,32421.999999999996
0.3,5,3,7,61.8,54.0,802,4.33,4.37,2.69,Colorless,16624.2,23382.0
1.0,5,1,3,59.9,56.0,5929,6.51,6.54,3.91,Colorless,23420.9,36456.0
0.73,3,4,6,61.4,58.0,3288,5.83,5.86,3.59,Near Colorless,22042.6,33814.0
1.53,3,5,4,60.9,63.0,11452,7.37,7.41,4.5,Near Colorless,27405.0,46431.0
0.71,3,6,7,63.5,57.0,2456,5.65,5.68,3.6,Near Colorless,22860.0,32205.0
0.52,5,5,4,61.7,54.0,1238,5.18,5.22,3.21,Near Colorless,19805.7,27971.999999999996
0.56,5,2,4,61.6,57.0,1625,5.3,5.32,3.27,Colorless,20143.2,30209.999999999996
0.32,4,4,4,60.8,59.0,720,4.44,4.41,2.69,Near Colorless,16355.199999999999,26196.000000000004
0.88,3,2,2,59.1,58.0,3150,6.22,6.3,3.7,Colorless,21867.0,36076.0
0.52,2,3,3,63.8,56.0,1244,5.07,5.12,3.25,Colorless,20735.0,28392.0
0.3,5,4,3,62.0,58.0,477,4.27,4.29,2.65,Near Colorless,16430.0,24765.999999999996
0.32,5,6,4,62.5,55.0,449,4.38,4.39,2.74,Near Colorless,17125.0,24090.0
0.72,5,5,4,61.7,56.0,3122,5.74,5.77,3.56,Near Colorless,21965.2,32144.0
1.51,2,2,3,63.6,56.0,12490,7.34,7.23,4.63,Colorless,29446.800000000003,41104.0
1.03,5,5,2,61.1,57.0,4325,6.48,6.52,3.97,Near Colorless,24256.7,36936.0
0.3,4,1,3,62.1,59.0,662,4.31,4.29,2.67,Colorless,16580.699999999997,25428.999999999996
1.6,5,7,4,61.9,55.0,8886,7.51,7.54,4.66,Near Colorless,28845.4,41305.0
0.41,4,3,5,58.6,61.0,1076,4.87,4.83,2.84,Colorless,16642.4,29707.0
0.9,3,1,2,61.2,54.0,3975,6.25,6.29,3.84,Colorless,23500.8,33750.0
0.93,3,4,2,62.9,56.0,4163,6.2,6.23,3.91,Near Colorless,24593.899999999998,34720.0
0.5,2,1,3,62.9,59.0,1436,4.94,5.01,3.13,Colorless,19687.699999999997,29146.000000000004
0.97,4,5,2,58.8,58.0,3346,6.44,6.41,3.78,Near Colorless,22226.399999999998,37352.00000000001
1.01,3,6,4,62.9,56.0,5067,6.38,6.43,4.03,Near Colorless,25348.7,35728.0
0.52,5,3,8,60.6,57.0,2598,5.22,5.21,3.16,Colorless,19149.600000000002,29753.999999999996
0.51,5,1,4,61.9,55.0,1597,5.15,5.19,3.2,Colorless,19808.0,28325.0
1.35,5,1,4,61.3,57.0,10796,7.13,7.09,4.36,Colorless,26726.800000000003,40641.0
0.9,3,5,5,63.5,59.0,4234,6.13,6.1,3.88,Near Colorless,24638.0,36167.0
0.52,3,4,7,60.9,56.0,1913,5.18,5.24,3.17,Near Colorless,19305.3,29008.0
0.25,3,5,7,60.1,62.0,450,4.08,4.11,2.46,Near Colorless,14784.6,25296.0
0.41,4,4,4,62.4,58.0,827,4.72,4.76,2.96,Near Colorless,18470.4,27376.0
0.68,3,4,8,62.7,56.0,3143,5.56,5.6,3.5,Near Colorless,21945.0,31135.999999999996
0.31,4,2,3,62.7,58.0,471,4.32,4.35,2.72,Colorless,17054.4,25056.0
1.01,1,4,5,64.6,60.0,6353,6.34,6.22,4.06,Near Colorless,26227.599999999995,38040.0
0.55,5,2,5,61.1,55.0,1975,5.3,5.33,3.25,Colorless,19857.5,29150.0
0.36,4,4,8,62.5,60.0,1148,4.53,4.49,2.82,Near Colorless,17625.0,27180.0
0.37,3,3,2,60.7,57.0,487,4.62,4.67,2.82,Colorless,17117.4,26334.000000000004
0.31,5,2,5,60.4,57.0,942,4.4,4.37,2.65,Colorless,16006.0,25080.0
1.02,3,5,3,62.9,59.0,4796,6.38,6.41,4.02,Near Colorless,25285.8,37642.0
0.3,4,3,4,61.1,59.0,776,4.32,4.29,2.63,Colorless,16069.3,25488.000000000004
1.2,4,4,3,62.7,58.0,6451,6.71,6.66,4.19,Near Colorless,26271.300000000003,38918.0
2.01,1,4,2,65.6,56.0,15562,7.89,7.84,6.16,Near Colorless,40409.59999999999,44184.0
0.85,3,2,4,60.2,60.0,3871,6.09,6.14,3.68,Colorless,22153.600000000002,36540.0
1.02,2,5,2,57.9,61.0,3770,6.75,6.68,3.89,Near Colorless,22523.1,41175.0
0.7,3,6,3,61.6,63.0,1856,5.68,5.59,3.47,Near Colorless,21375.2,35784.0
0.71,4,3,2,62.2,57.0,2040,5.66,5.6,3.5,Colorless,21770.0,32262.0
0.72,5,2,7,61.6,56.0,4702,5.75,5.77,3.55,Colorless,21868.0,32200.0
1.0,4,3,5,62.3,61.0,7336,6.38,6.33,3.96,Colorless,24670.8,38918.0
0.7,2,2,2,57.8,61.0,2310,5.88,5.82,3.38,Colorless,19536.399999999998,35868.0
0.58,5,4,5,62.6,54.0,1884,5.3,5.34,3.33,Near Colorless,20845.8,28620.0
1.24,4,5,2,61.2,57.0,5694,7.02,6.87,4.25,Near Colorless,26010.000000000004,40014.0
1.06,5,3,1,61.8,55.0,3544,6.55,6.58,4.06,Colorless,25090.799999999996,36025.0
0.38,4,5,6,62.0,58.0,833,4.62,4.64,2.87,Near Colorless,17794.0,26795.999999999996
1.22,4,1,2,62.0,60.0,6046,6.8,6.74,4.2,Colorless,26040.000000000004,40800.0
0.3,4,3,4,61.5,60.0,776,4.29,4.26,2.63,Colorless,16174.5,25739.999999999996
0.4,5,3,5,61.3,56.0,1050,4.76,4.73,2.91,Colorless,17838.3,26656.0
0.28,3,5,6,62.0,55.0,522,4.21,4.23,2.62,Near Colorless,16244.0,23155.0
1.06,5,5,3,62.1,56.0,5020,6.51,6.57,4.06,Near Colorless,25212.6,36456.0
0.51,3,2,3,62.5,57.0,1438,5.06,5.09,3.17,Colorless,19812.5,28841.999999999996
0.3,2,5,3,63.7,56.0,540,4.22,4.2,2.68,Near Colorless,17071.600000000002,23632.0
0.71,3,2,7,63.0,57.0,3808,5.66,5.7,3.58,Colorless,22554.0,32262.0
1.21,5,6,5,61.5,56.0,6691,6.83,6.87,4.22,Near Colorless,25952.999999999996,38248.0
1.26,5,7,3,62.0,56.0,5301,6.9,6.93,4.29,Near Colorless,26598.0,38640.0
0.81,4,4,4,62.0,58.0,2994,5.95,5.92,3.68,Near Colorless,22816.0,34510.0
0.41,4,5,3,61.7,60.0,876,4.75,4.71,2.92,Near Colorless,18016.4,28500.0
1.01,1,2,1,64.5,58.0,2788,6.29,6.21,4.03,Colorless,25993.5,36482.0
0.51,3,5,6,62.2,61.0,1577,5.06,5.1,3.16,Near Colorless,19655.2,30865.999999999996
1.15,3,5,2,63.0,54.0,4483,6.64,6.73,4.21,Near Colorless,26523.0,35856.0
0.54,5,1,4,62.6,57.0,1993,5.24,5.18,3.26,Colorless,20407.6,29868.0
0.42,4,1,6,62.8,59.0,1241,4.76,4.73,2.98,Colorless,18714.399999999998,28083.999999999996
1.23,4,5,4,58.5,62.0,6150,7.0,6.98,4.09,Near Colorless,23926.5,43400.0
1.2,3,6,4,61.7,59.0,5884,6.83,6.88,4.23,Near Colorless,26099.100000000006,40297.0
1.35,1,6,4,61.6,62.0,7182,7.15,7.1,4.39,Near Colorless,27042.399999999998,44330.0
0.5,3,5,3,63.1,59.0,1181,5.02,4.96,3.15,Near Colorless,19876.5,29617.999999999996
0.74,5,4,2,61.9,55.0,2487,5.82,5.84,3.61,Near Colorless,22345.899999999998,32010.000000000004
1.71,4,7,3,61.7,59.0,8690,7.63,7.7,4.73,Near Colorless,29184.100000000006,45017.0
0.45,1,2,4,65.8,58.0,951,4.81,4.74,3.14,Colorless,20661.2,27897.999999999996
0.72,5,2,4,61.7,55.0,3427,5.8,5.77,3.57,Colorless,22026.9,31900.0
1.0,3,3,4,63.2,56.0,6701,6.32,6.37,4.01,Colorless,25343.199999999997,35392.0
2.15,5,6,2,61.7,55.0,14519,8.43,8.24,5.14,Near Colorless,31713.8,46365.0
0.32,5,4,6,62.0,54.0,708,4.39,4.42,2.73,Near Colorless,16926.0,23705.999999999996
1.29,5,5,5,61.8,56.0,9273,6.97,7.02,4.32,Near Colorless,26697.6,39032.0
0.36,3,6,4,61.6,58.0,505,4.52,4.57,2.8,Near Colorless,17248.0,26215.999999999996
0.53,4,2,4,61.6,57.0,1813,5.21,5.18,3.2,Colorless,19712.0,29696.999999999996
0.5,2,3,2,57.7,62.0,926,5.22,5.18,3.0,Colorless,17310.000000000004,32364.0
0.71,5,4,5,62.7,57.0,2930,5.69,5.73,3.58,Near Colorless,22446.600000000002,32433.000000000004
0.56,5,1,5,62.5,56.0,2292,5.26,5.3,3.3,Colorless,20625.0,29456.0
0.31,3,3,7,59.2,62.0,777,4.34,4.41,2.59,Colorless,15332.800000000001,26908.0
1.01,3,2,7,62.3,56.0,10704,6.41,6.47,4.01,Colorless,24982.3,35896.0
0.43,4,4,5,61.8,59.0,943,4.83,4.88,3.0,Near Colorless,18539.999999999996,28497.000000000004
0.71,3,2,2,62.2,58.0,2313,5.68,5.73,3.55,Colorless,22081.0,32944.0
0.7,5,5,4,63.0,55.0,2536,5.7,5.67,3.58,Near Colorless,22554.0,31350.0
1.22,5,3,2,62.5,56.2,6401,6.81,6.85,4.27,Colorless,26687.5,38272.2
1.52,5,6,8,62.2,57.0,10419,7.27,7.33,4.54,Near Colorless,28238.800000000003,41439.0
0.41,3,2,3,63.2,57.0,667,4.69,4.74,2.98,Colorless,18833.600000000002,26733.000000000004
0.32,5,6,7,62.0,55.3,553,4.39,4.42,2.73,Near Colorless,16926.0,24276.699999999997
1.6,5,4,7,60.8,56.0,16339,7.58,7.54,4.6,Near Colorless,27967.999999999996,42448.0
0.4,5,4,4,62.3,54.0,792,4.73,4.77,2.96,Near Colorless,18440.8,25542.0
0.53,5,2,2,61.2,55.0,1229,5.23,5.26,3.21,Colorless,19645.2,28765.000000000004
0.51,3,4,5,63.4,57.0,1709,5.08,5.04,3.21,Near Colorless,20351.399999999998,28956.0
0.32,4,4,5,59.2,59.0,828,4.47,4.45,2.64,Near Colorless,15628.800000000001,26372.999999999996
0.33,3,4,2,60.0,56.0,460,4.52,4.55,2.73,Near Colorless,16380.000000000002,25311.999999999996
1.0,4,1,2,62.4,58.0,4730,6.33,6.36,3.96,Colorless,24710.399999999998,36714.0
0.39,5,1,5,61.9,57.0,1095,4.69,4.71,2.91,Colorless,18012.899999999998,26733.000000000004
0.36,5,5,4,62.0,55.0,599,4.58,4.63,2.86,Near Colorless,17732.0,25190.0
0.42,5,5,3,62.4,57.0,898,4.79,4.76,2.98,Near Colorless,18595.2,27303.000000000004
0.74,4,6,2,59.8,58.0,2042,5.93,5.88,3.53,Near Colorless,21109.399999999998,34394.0
1.01,3,2,2,63.4,58.0,3801,6.43,6.34,4.05,Colorless,25677.0,37294.0
0.53,5,4,5,61.2,55.0,1754,5.23,5.26,3.21,Near Colorless,19645.2,28765.000000000004
1.0,1,3,3,61.3,62.0,5040,6.45,6.37,3.93,Colorless,24090.899999999998,39990.0
1.0,1,5,4,64.8,55.0,3819,6.35,6.28,4.09,Near Colorless,26503.199999999997,34925.0
1.01,3,3,2,63.4,60.0,3563,6.33,6.26,3.99,Colorless,25296.600000000002,37980.0
0.9,2,5,4,64.0,57.0,3538,6.14,6.11,3.92,Near Colorless,25088.0,34997.99999999999
0.4,5,4,3,61.0,55.0,855,4.76,4.81,2.92,Near Colorless,17812.0,26180.0
0.32,5,4,5,62.3,55.0,559,4.39,4.41,2.74,Near Colorless,17070.2,24145.0
0.4,4,3,3,61.7,62.0,920,4.76,4.71,2.92,Colorless,18016.4,29512.0
0.31,5,3,5,61.0,56.0,642,4.38,4.4,2.68,Colorless,16348.000000000002,24528.0
0.32,5,6,4,62.2,57.0,576,4.42,4.39,2.74,Near Colorless,17042.800000000003,25194.0
0.51,5,4,6,61.8,56.0,1974,5.16,5.1,3.17,Near Colorless,19590.6,28896.000000000004
0.55,5,1,5,61.3,56.0,2251,5.28,5.32,3.25,Colorless,19922.5,29568.0
1.52,4,6,3,60.5,60.0,8852,7.48,7.4,4.5,Near Colorless,27225.0,44880.0
1.09,4,1,2,61.2,60.0,5164,6.6,6.64,4.05,Colorless,24786.0,39600.0
0.33,3,4,5,61.2,57.0,643,4.46,4.49,2.73,Near Colorless,16707.6,25422.0
1.6,1,1,2,64.7,58.0,8666,7.35,7.28,4.73,Colorless,30603.100000000006,42629.99999999999
1.01,2,2,3,56.9,61.0,4928,6.65,6.6,3.77,Colorless,21451.3,40565.0
0.7,3,3,7,59.3,62.0,3270,5.74,5.77,3.41,Colorless,20221.3,35588.0
0.9,4,5,3,60.7,59.0,3730,6.26,6.19,3.78,Near Colorless,22944.6,36934.0
1.32,1,3,7,58.0,66.0,12648,7.31,7.28,4.23,Colorless,24534.000000000004,48246.0
0.4,2,1,6,60.8,62.0,1080,4.74,4.77,2.89,Colorless,17571.199999999997,29388.0
0.57,5,5,4,60.2,59.0,1573,5.35,5.38,3.23,Near Colorless,19444.6,31564.999999999996
1.5,1,4,4,66.2,53.0,10644,7.12,7.08,4.7,Near Colorless,31114.000000000004,37736.0
0.55,4,4,4,62.3,56.0,1668,5.29,5.24,3.28,Near Colorless,20434.399999999998,29624.0
1.01,3,2,4,63.2,57.0,6787,6.38,6.35,4.02,Colorless,25406.399999999998,36366.0
0.3,3,4,4,63.1,57.0,675,4.28,4.24,2.69,Near Colorless,16973.9,24396.0
0.4,2,4,5,59.6,61.0,952,4.82,4.85,2.88,Near Colorless,17164.8,29402.000000000004
0.7,3,3,2,61.2,57.0,2100,5.67,5.74,3.49,Colorless,21358.800000000003,32319.0
1.4,3,4,5,59.9,56.0,11584,7.31,7.34,4.39,Near Colorless,26296.099999999995,40935.99999999999
1.52,4,7,5,62.0,59.0,8110,7.34,7.36,4.56,Near Colorless,28271.999999999996,43306.0
0.3,5,5,3,62.2,57.0,450,4.26,4.29,2.66,Near Colorless,16545.200000000004,24282.0
